pg,os,type,os_code,os_arch,pkg,ext,pname,miss,hide,pkg_repo,pkg_ver,count
16,d12.x86_64,deb,d12,x86_64,rdkit,rdkit,postgresql-16-rdkit,t,f,pgdg,202303.3,1
16,d12.x86_64,deb,d12,x86_64,redis_fdw,redis_fdw,postgresql-16-redis-fdw,t,f,pigsty,1.0,1
16,d12.x86_64,deb,d12,x86_64,repmgr,repmgr,postgresql-16-repmgr,t,f,pgdg,5.5.0+debpgdg,1
16,d12.x86_64,deb,d12,x86_64,roaringbitmap,roaringbitmap,postgresql-16-roaringbitmap,t,f,pgdg,0.5.4,1
16,d12.x86_64,deb,d12,x86_64,rum,rum,postgresql-16-rum,t,f,pgdg,1.3.14,1
16,d12.x86_64,deb,d12,x86_64,safeupdate,safeupdate,postgresql-16-pg-safeupdate,t,f,pigsty,1.5,1
16,d12.x86_64,deb,d12,x86_64,sequential_uuids,sequential_uuids,postgresql-16-sequential-uuids,t,f,pigsty,1.0.3,1
16,d12.x86_64,deb,d12,x86_64,session_variable,session_variable,postgresql-16-session-variable,t,f,pigsty,3.4,1
16,d12.x86_64,deb,d12,x86_64,set_user,set_user,postgresql-16-set-user,t,f,pgdg,4.1.0,1
16,d12.x86_64,deb,d12,x86_64,shacrypt,shacrypt,postgresql-16-shacrypt,t,f,pigsty,1.1,1
16,d12.x86_64,deb,d12,x86_64,smlar,smlar,postgresql-16-smlar,t,f,pigsty,1.0,1
16,d12.x86_64,deb,d12,x86_64,spat,spat,postgresql-16-spat,t,f,,,0
16,d12.x86_64,deb,d12,x86_64,sqlite_fdw,sqlite_fdw,postgresql-16-sqlite-fdw,t,f,pigsty,2.5.0,1
16,d12.x86_64,deb,d12,x86_64,sslutils,sslutils,postgresql-16-sslutils,t,f,pigsty,1.4,1
16,d12.x86_64,deb,d12,x86_64,supautils,supautils,postgresql-16-supautils,t,f,pigsty,2.9.2,1
16,d12.x86_64,deb,d12,x86_64,system_stats,system_stats,postgresql-16-system-stats,t,f,pigsty,3.2,1
16,d12.x86_64,deb,d12,x86_64,table_log,table_log,postgresql-16-tablelog,t,f,pgdg,0.6.4,1
16,d12.x86_64,deb,d12,x86_64,table_version,table_version,postgresql-16-table-version,t,f,pigsty,1.11.0,1
16,d12.x86_64,deb,d12,x86_64,tdigest,tdigest,postgresql-16-tdigest,t,f,pgdg,1.4.3,1
16,d12.x86_64,deb,d12,x86_64,tds_fdw,tds_fdw,postgresql-16-tds-fdw,t,f,pgdg,2.0.4,1
16,d12.x86_64,deb,d12,x86_64,temporal_tables,temporal_tables,postgresql-16-temporal-tables,t,f,pigsty,1.2.2,1
16,d12.x86_64,deb,d12,x86_64,timescaledb,timescaledb,postgresql-16-timescaledb-tsl,t,f,pigsty,2.20.3,1
16,d12.x86_64,deb,d12,x86_64,timescaledb_toolkit,timescaledb_toolkit,postgresql-16-timescaledb-toolkit,t,f,pigsty,1.21.0,1
16,d12.x86_64,deb,d12,x86_64,timestamp9,timestamp9,postgresql-16-timestamp9,t,f,pigsty,1.4.0,1
16,d12.x86_64,deb,d12,x86_64,toastinfo,toastinfo,postgresql-16-toastinfo,t,f,pgdg,1.5,1
16,d12.x86_64,deb,d12,x86_64,topn,topn,postgresql-16-topn,t,f,pigsty,2.7.0,1
16,d12.x86_64,deb,d12,x86_64,url_encode,url_encode,postgresql-16-url-encode,t,f,pigsty,1.2.5,1
